epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,777.138,1.51036,1.23528,0.01267,0.75526,0.47461,0.50662,0.24799,1.79951,1.47446,0.01882,0.000396265,0.000396265,0.000396265
43,795.17,1.52912,1.22929,0.0126,0.7385,0.46879,0.50765,0.25389,1.80279,1.46058,0.01934,0.000389661,0.000389661,0.000389661
44,813.657,1.51579,1.22158,0.01269,0.69633,0.48566,0.51683,0.25686,1.77725,1.42712,0.01874,0.000383058,0.000383058,0.000383058
45,832.098,1.51099,1.2154,0.01258,0.68814,0.48611,0.50274,0.25421,1.79279,1.44273,0.01937,0.000376455,0.000376455,0.000376455
46,851.949,1.49788,1.1947,0.01226,0.81856,0.43442,0.48904,0.24477,1.80473,1.47963,0.01935,0.000369851,0.000369851,0.000369851
47,875.039,1.5006,1.19615,0.01242,0.71572,0.47304,0.49411,0.2383,1.81588,1.45117,0.01909,0.000363248,0.000363248,0.000363248
48,900.034,1.49941,1.18693,0.01271,0.71189,0.48977,0.51182,0.24666,1.79235,1.46511,0.01908,0.000356645,0.000356645,0.000356645
49,923.366,1.49894,1.17156,0.01257,0.72774,0.49712,0.5114,0.25186,1.81883,1.43531,0.0192,0.000350042,0.000350042,0.000350042
50,946.539,1.48516,1.1592,0.01223,0.64713,0.4936,0.51457,0.26012,1.79047,1.43804,0.01891,0.000343438,0.000343438,0.000343438
51,969.809,1.49755,1.17424,0.01221,0.64053,0.46455,0.50278,0.25006,1.80667,1.45444,0.01903,0.000336835,0.000336835,0.000336835
52,993.145,1.48449,1.14872,0.01225,0.68414,0.49842,0.5262,0.25611,1.79441,1.39826,0.01892,0.000330232,0.000330232,0.000330232
53,1018.18,1.46211,1.13289,0.01205,0.70159,0.46347,0.50896,0.25319,1.81255,1.42165,0.01895,0.000323628,0.000323628,0.000323628
54,1043.32,1.46836,1.12891,0.01176,0.7312,0.45329,0.49531,0.25022,1.82513,1.4304,0.01932,0.000317025,0.000317025,0.000317025
55,1065.86,1.46688,1.11186,0.01192,0.80696,0.46037,0.51234,0.24657,1.81032,1.4361,0.01927,0.000310422,0.000310422,0.000310422
56,1084.13,1.46459,1.10807,0.01223,0.64974,0.48321,0.50903,0.25355,1.79978,1.42609,0.01884,0.000303818,0.000303818,0.000303818
57,1104.85,1.47629,1.10824,0.01188,0.6568,0.47034,0.51342,0.25328,1.77551,1.42847,0.01864,0.000297215,0.000297215,0.000297215
58,1128.84,1.46273,1.10302,0.01171,0.73585,0.47076,0.50428,0.25032,1.78125,1.43744,0.01863,0.000290612,0.000290612,0.000290612
59,1151.39,1.46108,1.08342,0.01168,0.63008,0.47168,0.50006,0.24331,1.82561,1.46172,0.0192,0.000284009,0.000284009,0.000284009
60,1174.56,1.4481,1.08158,0.01195,0.68973,0.47916,0.50687,0.25093,1.84417,1.43092,0.01953,0.000277405,0.000277405,0.000277405
61,1197.98,1.45529,1.10515,0.01207,0.70281,0.48285,0.50374,0.2445,1.81795,1.44369,0.01903,0.000270802,0.000270802,0.000270802
62,1218.36,1.4434,1.07849,0.01141,0.76229,0.46063,0.51444,0.25063,1.81258,1.41801,0.01886,0.000264199,0.000264199,0.000264199
63,1236.62,1.44392,1.07231,0.0116,0.5925,0.50314,0.50431,0.24603,1.82789,1.40778,0.01912,0.000257595,0.000257595,0.000257595
64,1254.69,1.42658,1.04049,0.0117,0.74771,0.4861,0.51657,0.25272,1.8032,1.40278,0.01908,0.000250992,0.000250992,0.000250992
65,1272.99,1.43007,1.06686,0.01187,0.79748,0.45106,0.5066,0.25241,1.79726,1.41996,0.01889,0.000244389,0.000244389,0.000244389
66,1291.49,1.43087,1.04012,0.01126,0.64941,0.47719,0.50767,0.24516,1.82008,1.43287,0.01899,0.000237785,0.000237785,0.000237785
67,1309.88,1.4246,1.03226,0.01147,0.70818,0.48379,0.51036,0.25064,1.80827,1.44929,0.01918,0.000231182,0.000231182,0.000231182
68,1328.26,1.43484,1.05646,0.01153,0.74894,0.47186,0.51913,0.25573,1.80635,1.38251,0.01883,0.000224579,0.000224579,0.000224579
69,1346.51,1.41378,1.02699,0.01123,0.71233,0.46539,0.50024,0.24439,1.83011,1.40948,0.01899,0.000217976,0.000217976,0.000217976
70,1364.97,1.42871,1.03643,0.01143,0.82987,0.43962,0.51046,0.25039,1.81147,1.42822,0.01911,0.000211372,0.000211372,0.000211372
71,1383.15,1.39511,1.00124,0.01123,0.65479,0.47508,0.50835,0.24954,1.80568,1.44612,0.01866,0.000204769,0.000204769,0.000204769
